"Product ID","Product Name","Current Price","Original Price","Discount","Stock Status","Sizes","URL","Event Type","Timestamp","Image","Category","Variants"
"112454214","John Lewis Floral Egg Hanging Decoration, Pack of 6","1.20","4.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-floral-egg-hanging-decoration-pack-of-6/p112454214","New","2025-09-14 17:50:19","https://media.johnlewiscontent.com/i/JohnLewis/112373727","John Lewis Branded","None"
"112476252","John Lewis Beaded Bunny Hanging Decoration","1.50","5.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-beaded-bunny-hanging-decoration/p112476252","New","2025-09-14 17:50:47","https://media.johnlewiscontent.com/i/JohnLewis/112373729","John Lewis Branded","None"
"5019392","John Lewis Fuschia/Gold/Purple Tissue Paper, 12 Sheets","1.20","4.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-fuschia-gold-purple-tissue-paper-12-sheets/p5019392","New","2025-09-14 17:50:50","https://media.johnlewiscontent.com/i/JohnLewis/238744614","John Lewis Branded","None"
"112454901","John Lewis Refillable Plastic Eggs","1.50","5.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-refillable-plastic-eggs/p112454901","New","2025-09-14 17:50:53","https://media.johnlewiscontent.com/i/JohnLewis/112373709","John Lewis Branded","None"
"112472742","John Lewis Embroidered Angel Fish Swim Shorts, Navy Multi","13.50","45.00","70.00","In Stock","S, M, L, XL","https://www.johnlewis.com/john-lewis-embroidered-angel-fish-swim-shorts-navy-multi/p112472742","New","2025-09-14 17:51:00","https://media.johnlewiscontent.com/i/JohnLewis/009079594","John Lewis Branded","None"
"112742210","John Lewis Resort Collection Cotton Knitted Long Sleeve T-Shirt, Green Light","13.50","45.00","70.00","In Stock","M, L, XL","https://www.johnlewis.com/john-lewis-resort-collection-cotton-knitted-long-sleeve-t-shirt-green-light/p112742210","New","2025-09-14 17:51:27","https://media.johnlewiscontent.com/i/JohnLewis/009275175","John Lewis Branded","None"
"113012971","John Lewis Avery Knotted Headband Fascinator","10.50","35.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-avery-knotted-headband-fascinator/p113012971","New","2025-09-14 17:51:51","https://media.johnlewiscontent.com/i/JohnLewis/112628534","John Lewis Branded","Blackselected, Light Pink, Pink"
"111387785","John Lewis Modernist Modular Shelf Unit, Silver","30.00","100.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-modernist-modular-shelf-unit-silver/p111387785","New","2025-09-14 17:51:54","https://media.johnlewiscontent.com/i/JohnLewis/111321843","John Lewis Branded","None"
"113207146","John Lewis Knoxx Mary Jane Slingback Wedge Espadrille Sandals, Black","26.70","89.00","70.00","In Stock","5, 6, 8","https://www.johnlewis.com/john-lewis-knoxx-mary-jane-slingback-wedge-espadrille-sandals-black/p113207146","New","2025-09-14 17:52:06","https://media.johnlewiscontent.com/i/JohnLewis/009287055","John Lewis Branded","None"
"112500672","John Lewis Large Faux Fur Collar Scarf","11.70","39.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-large-faux-fur-collar-scarf/p112500672","New","2025-09-14 17:52:15","https://media.johnlewiscontent.com/i/JohnLewis/111962767","John Lewis Branded","Grey, Gingerselected"
